Disease,General_Diet_Recommendations,Veg_Diet,Non_Veg_Diet
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","Garlic, Coconut oil, Turmeric, Yogurt (Probiotics), Leafy greens","Baked fish, Boiled eggs (avoid sugary marinades)"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","Quercetin-rich foods (Onions, Apples), Vitamin C (Citrus), Flaxseeds, Ginger","Salmon (Omega-3), Mackerel, Lean chicken broth"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","Oatmeal, Ginger, Bananas, Melons, Boiled vegetables","Grilled chicken breast (no skin), Poached fish, Egg whites"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","High-fiber lentils, Fruits, Whole grains, Low-fat tofu","Boiled lean fish, Egg whites, Steamed chicken"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","Fresh fruit juices, Herbal teas, Probiotic yogurt, Green leafy vegetables","Light chicken soup, Steamed fish"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","Cabbage juice, Probiotic yogurt, Bananas, Honey, Steamed vegetables","Boiled eggs, Steamed lean chicken"
AIDS,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","Legumes, Nuts, Tofu, Fortified cereals, Avocado","Eggs, Lean meats, Fatty fish, Poultry"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","Whole grains, Bitter gourd, Fenugreek, Leafy greens, Legumes","Grilled fish, Skinless chicken, Egg whites"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","Rice water, Bananas, Boiled potatoes, Toast, Coconut water","Chicken broth, Scrambled eggs (no oil)"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","Fruits (Vitamin C), Ginger, Garlic, Spinach, Magnesium-rich seeds","Salmon, Tuna, Mackerel (Omega-3 fatty acids)"
Hypertension,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","DASH diet: Bananas, Spinach, Beetroot, Flaxseeds, Skimmed milk","Fatty fish, Lean chicken breast (Low salt)"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","Magnesium-rich foods (Spinach, Almonds), Ginger tea, Whole grains","Fresh salmon, Fresh chicken (Avoid processed meats)"
Cervical spondylosis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","Calcium-rich foods (Milk, Paneer), Soy products, Walnuts, Garlic","Small fatty fish (for Omega-3 and Vitamin D), Eggs"
Paralysis (brain hemorrhage),"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","Blueberries, Spinach, Whole grains, Walnut, Green tea","Fatty fish (Omega-3), Lean protein (Chicken)"
Jaundice,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","Sugarcane juice, Radish leaves juice, Papaya, Barley water",Light chicken broth (after recovery phase starts)
Malaria,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","Citrus fruits, Boiled pulses, Rice, Vegetable soups","Boiled egg whites, Light chicken stew"
Chicken pox,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","Mashed potatoes, Boiled vegetables, Coconut water, Yogurt","Chicken soup (bland), Soft boiled eggs"
Dengue,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","Papaya leaf extract, Pomegranate, Porridge, Coconut water","Chicken soup, Boiled egg whites"
Typhoid,"['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","High-calorie mushy foods, Bananas, Boiled rice, Custard","Chicken broth, Poached eggs"
hepatitis A,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","High carbohydrate foods (Potatoes, Cereals), Sugarcane, Grapes",Avoid heavy non-veg; Lean protein like boiled fish in small amounts
Hepatitis B,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","Whole grains, Fresh fruits, Legumes, Tofu","Grilled fish, Lean chicken breast"
Hepatitis C,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","Iron-controlled diet (if needed), Fiber, Fruits, Vegetables","Poultry, Fish, Egg whites"
Hepatitis D,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","Antioxidant-rich foods, Whole grains, Leafy greens","Lean proteins, Fatty fish"
Hepatitis E,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","High-fluid diet, Boiled vegetables, Fruit juices",Bland chicken soup
Alcoholic hepatitis,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","High protein (Tofu, Beans), Nutrient-dense smoothies, Folic acid","Egg whites, Lean poultry"
Tuberculosis,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","High protein: Soy, Paneer, Peanuts, Fortified milk","Eggs, Chicken, Fish, Organ meats (high Vitamin A)"
Common Cold,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","Ginger-Honey tea, Garlic, Citrus fruits, Vegetable soup","Chicken soup, Boiled eggs"
Pneumonia,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","Warm soups, Ginger, Turmeric milk, Leafy greens","Chicken broth, Steamed fish"
Dimorphic hemmorhoids(piles),"['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']","High-fiber: Whole grains, Legumes, Papaya, Plenty of water",Lean protein with extra vegetable fiber side
Heart attack,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","Oats, Walnuts, Leafy greens, Berries, Flaxseeds","Fatty fish (Salmon), Lean skinless chicken"
Varicose veins,"['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']","High-fiber foods, Bioflavonoids (Berries), Chia seeds","Salmon, Tuna"
Hypothyroidism,"['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","Iodized salt, Brazil nuts (Selenium), Dairy, Whole grains","Seafood, Eggs, Lean meat"
Hyperthyroidism,"['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","Cruciferous vegetables (Broccoli, Kale), Berries, Non-iodized salt","Lean chicken, Egg whites"
Hypoglycemia,"['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","Complex carbs: Oats, Sweet potato, Nuts, Beans","Chicken, Fish, Eggs paired with complex carbs"
Osteoarthristis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","Broccoli, Spinach, Walnuts, Turmeric, Ginger","Fatty fish, Bone broth"
Arthritis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","Anti-inflammatory: Berries, Olive oil, Nuts, Soy","Salmon, Mackerel, Sardines"
(vertigo) Paroymsal Positional Vertigo,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']","Hydration, Ginger, Low-salt nuts, Whole grains","Lean chicken, Fish"
Acne,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","Low-glycemic: Whole grains, Legumes, Zinc-rich seeds","Fish, Lean meats (Avoid high dairy if sensitive)"
Urinary tract infection,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']","Cranberry juice, Water, Probiotic yogurt, Vitamin C fruits",Light chicken soup
Psoriasis,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","Anti-inflammatory: Walnuts, Flaxseeds, Colorful vegetables","Fatty fish (Salmon), Lean meats"
Impetigo,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']","Garlic, Honey, Probiotic-rich foods, Fruit juices",Lean protein to support skin healing
